edition,winner_name,statistic,value
1,Maurice Garin,stage_wins,3
1,Maurice Garin,stages_led,6
1,Maurice Garin,time_margin,2.9891666666666667
2,Henri Cornet,stage_wins,1
2,Henri Cornet,stages_led,3
2,Henri Cornet,time_margin,2.2705555555555557
3,Louis Trousselier,stage_wins,5
3,Louis Trousselier,stages_led,10
3,Louis Trousselier,time_margin,NA
4,René Pottier,stage_wins,5
4,René Pottier,stages_led,12
4,René Pottier,time_margin,NA
5,Lucien Petit-Breton,stage_wins,2
5,Lucien Petit-Breton,stages_led,5
5,Lucien Petit-Breton,time_margin,NA
6,Lucien Petit-Breton,stage_wins,5
6,Lucien Petit-Breton,stages_led,13
6,Lucien Petit-Breton,time_margin,NA
7,François Faber,stage_wins,6
7,François Faber,stages_led,13
7,François Faber,time_margin,NA
8,Octave Lapize,stage_wins,4
8,Octave Lapize,stages_led,3
8,Octave Lapize,time_margin,NA
9,Gustave Garrigou,stage_wins,2
9,Gustave Garrigou,stages_led,13
9,Gustave Garrigou,time_margin,NA
10,Odile Defraye,stage_wins,3
10,Odile Defraye,stages_led,13
10,Odile Defraye,time_margin,NA
11,Philippe Thys,stage_wins,1
11,Philippe Thys,stages_led,8
11,Philippe Thys,time_margin,0.13555555555555554
12,Philippe Thys,stage_wins,1
12,Philippe Thys,stages_led,15
12,Philippe Thys,time_margin,0.016944444444444443
13,Firmin Lambot,stage_wins,1
13,Firmin Lambot,stages_led,2
13,Firmin Lambot,time_margin,1.7149999999999999
14,Philippe Thys,stage_wins,4
14,Philippe Thys,stages_led,14
14,Philippe Thys,time_margin,0.9658333333333333
15,Léon Scieur,stage_wins,2
15,Léon Scieur,stages_led,14
15,Léon Scieur,time_margin,0.305
16,Firmin Lambot,stage_wins,0
16,Firmin Lambot,stages_led,3
16,Firmin Lambot,time_margin,0.6947222222222222
17,Henri Pélissier,stage_wins,3
17,Henri Pélissier,stages_led,6
17,Henri Pélissier,time_margin,0.5083333333333333
18,Ottavio Bottecchia,stage_wins,4
18,Ottavio Bottecchia,stages_led,15
18,Ottavio Bottecchia,time_margin,0.5930555555555556
19,Ottavio Bottecchia,stage_wins,4
19,Ottavio Bottecchia,stages_led,13
19,Ottavio Bottecchia,time_margin,0.915
20,Lucien Buysse,stage_wins,2
20,Lucien Buysse,stages_led,8
20,Lucien Buysse,time_margin,1.3736111111111111
21,Nicolas Frantz,stage_wins,3
21,Nicolas Frantz,stages_led,14
21,Nicolas Frantz,time_margin,1.811388888888889
22,Nicolas Frantz,stage_wins,5
22,Nicolas Frantz,stages_led,22
22,Nicolas Frantz,time_margin,0.8472222222222222
23,Maurice De Waele,stage_wins,1
23,Maurice De Waele,stages_led,16
23,Maurice De Waele,time_margin,0.7455555555555555
24,André Leducq,stage_wins,2
24,André Leducq,stages_led,13
24,André Leducq,time_margin,0.23722222222222222
25,Antonin Magne,stage_wins,1
25,Antonin Magne,stages_led,16
25,Antonin Magne,time_margin,0.20333333333333334
26,André Leducq,stage_wins,6
26,André Leducq,stages_led,19
26,André Leducq,time_margin,0.4066666666666667
27,Georges Speicher,stage_wins,3
27,Georges Speicher,stages_led,12
27,Georges Speicher,time_margin,0.06777777777777777
28,Antonin Magne,stage_wins,3
28,Antonin Magne,stages_led,22
28,Antonin Magne,time_margin,0.4575
29,Romain Maes,stage_wins,3
29,Romain Maes,stages_led,21
29,Romain Maes,time_margin,0.28805555555555556
30,Sylvère Maes,stage_wins,4
30,Sylvère Maes,stages_led,14
30,Sylvère Maes,time_margin,0.4405555555555556
31,Roger Lapébie,stage_wins,3
31,Roger Lapébie,stages_led,4
31,Roger Lapébie,time_margin,0.11861111111111111
32,Gino Bartali,stage_wins,2
32,Gino Bartali,stages_led,8
32,Gino Bartali,time_margin,0.305
33,Sylvère Maes,stage_wins,2
33,Sylvère Maes,stages_led,8
33,Sylvère Maes,time_margin,0.5083333333333333
34,Jean Robic,stage_wins,3
34,Jean Robic,stages_led,1
34,Jean Robic,time_margin,0.050833333333333335
35,Gino Bartali,stage_wins,7
35,Gino Bartali,stages_led,9
35,Gino Bartali,time_margin,0.4405555555555556
36,Fausto Coppi,stage_wins,3
36,Fausto Coppi,stages_led,5
36,Fausto Coppi,time_margin,0.16944444444444443
37,Ferdinand Kübler,stage_wins,3
37,Ferdinand Kübler,stages_led,11
37,Ferdinand Kübler,time_margin,0.1525
38,Hugo Koblet,stage_wins,5
38,Hugo Koblet,stages_led,11
38,Hugo Koblet,time_margin,0.37277777777777776
39,Fausto Coppi,stage_wins,5
39,Fausto Coppi,stages_led,14
39,Fausto Coppi,time_margin,0.47444444444444445
40,Louison Bobet,stage_wins,2
40,Louison Bobet,stages_led,5
40,Louison Bobet,time_margin,0.23722222222222222
41,Louison Bobet,stage_wins,3
41,Louison Bobet,stages_led,14
41,Louison Bobet,time_margin,0.25416666666666665
42,Louison Bobet,stage_wins,2
42,Louison Bobet,stages_led,6
42,Louison Bobet,time_margin,0.06777777777777777
43,Roger Walkowiak,stage_wins,0
43,Roger Walkowiak,stages_led,8
43,Roger Walkowiak,time_margin,0.016944444444444443
44,Jacques Anquetil,stage_wins,4
44,Jacques Anquetil,stages_led,15
44,Jacques Anquetil,time_margin,0.23722222222222222
45,Charly Gaul,stage_wins,4
45,Charly Gaul,stages_led,2
45,Charly Gaul,time_margin,0.050833333333333335
46,Federico Bahamontes,stage_wins,1
46,Federico Bahamontes,stages_led,6
46,Federico Bahamontes,time_margin,0.06777777777777777
47,Gastone Nencini,stage_wins,0
47,Gastone Nencini,stages_led,14
47,Gastone Nencini,time_margin,0.08472222222222221
48,Jacques Anquetil,stage_wins,2
48,Jacques Anquetil,stages_led,21
48,Jacques Anquetil,time_margin,0.20333333333333334
49,Jacques Anquetil,stage_wins,2
49,Jacques Anquetil,stages_led,3
49,Jacques Anquetil,time_margin,0.06777777777777777
50,Jacques Anquetil,stage_wins,4
50,Jacques Anquetil,stages_led,5
50,Jacques Anquetil,time_margin,0.050833333333333335
51,Jacques Anquetil,stage_wins,4
51,Jacques Anquetil,stages_led,6
51,Jacques Anquetil,time_margin,0.015277777777777777
52,Felice Gimondi,stage_wins,3
52,Felice Gimondi,stages_led,18
52,Felice Gimondi,time_margin,0.033888888888888885
53,Lucien Aimar,stage_wins,0
53,Lucien Aimar,stages_led,6
53,Lucien Aimar,time_margin,0.016944444444444443
54,Roger Pingeon,stage_wins,1
54,Roger Pingeon,stages_led,17
54,Roger Pingeon,time_margin,0.050833333333333335
55,Jan Janssen,stage_wins,2
55,Jan Janssen,stages_led,1
55,Jan Janssen,time_margin,0.010555555555555556
56,Eddy Merckx,stage_wins,6
56,Eddy Merckx,stages_led,18
56,Eddy Merckx,time_margin,0.28805555555555556
57,Eddy Merckx,stage_wins,8
57,Eddy Merckx,stages_led,20
57,Eddy Merckx,time_margin,0.20333333333333334
58,Eddy Merckx,stage_wins,4
58,Eddy Merckx,stages_led,17
58,Eddy Merckx,time_margin,0.1525
59,Eddy Merckx,stage_wins,6
59,Eddy Merckx,stages_led,15
59,Eddy Merckx,time_margin,0.16944444444444443
60,Luis Ocaña,stage_wins,6
60,Luis Ocaña,stages_led,14
60,Luis Ocaña,time_margin,0.25416666666666665
61,Eddy Merckx,stage_wins,8
61,Eddy Merckx,stages_led,18
61,Eddy Merckx,time_margin,0.13555555555555554
62,Bernard Thévenet,stage_wins,2
62,Bernard Thévenet,stages_led,8
62,Bernard Thévenet,time_margin,0.033888888888888885
63,Lucien Van Impe,stage_wins,1
63,Lucien Van Impe,stages_led,12
63,Lucien Van Impe,time_margin,0.06777777777777777
64,Bernard Thévenet,stage_wins,1
64,Bernard Thévenet,stages_led,8
64,Bernard Thévenet,time_margin,0.013333333333333334
65,Bernard Hinault,stage_wins,3
65,Bernard Hinault,stages_led,3
65,Bernard Hinault,time_margin,0.050833333333333335
66,Bernard Hinault,stage_wins,7
66,Bernard Hinault,stages_led,17
66,Bernard Hinault,time_margin,0.2202777777777778
67,Joop Zoetemelk,stage_wins,2
67,Joop Zoetemelk,stages_led,10
67,Joop Zoetemelk,time_margin,0.10166666666666667
68,Bernard Hinault,stage_wins,5
68,Bernard Hinault,stages_led,18
68,Bernard Hinault,time_margin,0.23722222222222222
69,Bernard Hinault,stage_wins,4
69,Bernard Hinault,stages_led,12
69,Bernard Hinault,time_margin,0.10166666666666667
70,Laurent Fignon,stage_wins,1
70,Laurent Fignon,stages_led,6
70,Laurent Fignon,time_margin,0.06777777777777777
71,Laurent Fignon,stage_wins,5
71,Laurent Fignon,stages_led,7
71,Laurent Fignon,time_margin,0.16944444444444443
72,Bernard Hinault,stage_wins,2
72,Bernard Hinault,stages_led,16
72,Bernard Hinault,time_margin,0.016944444444444443
73,Greg LeMond,stage_wins,1
73,Greg LeMond,stages_led,7
73,Greg LeMond,time_margin,0.050833333333333335
74,Stephen Roche,stage_wins,1
74,Stephen Roche,stages_led,3
74,Stephen Roche,time_margin,0.011111111111111112
75,Pedro Delgado,stage_wins,1
75,Pedro Delgado,stages_led,11
75,Pedro Delgado,time_margin,0.11861111111111111
76,Greg LeMond,stage_wins,3
76,Greg LeMond,stages_led,8
76,Greg LeMond,time_margin,0.0022222222222222222
77,Greg LeMond,stage_wins,0
77,Greg LeMond,stages_led,2
77,Greg LeMond,time_margin,0.033888888888888885
78,Miguel Induráin,stage_wins,2
78,Miguel Induráin,stages_led,10
78,Miguel Induráin,time_margin,0.050833333333333335
79,Miguel Induráin,stage_wins,3
79,Miguel Induráin,stages_led,10
79,Miguel Induráin,time_margin,0.06777777777777777
80,Miguel Induráin,stage_wins,2
80,Miguel Induráin,stages_led,14
80,Miguel Induráin,time_margin,0.06777777777777777
81,Miguel Induráin,stage_wins,1
81,Miguel Induráin,stages_led,13
81,Miguel Induráin,time_margin,0.08472222222222221
82,Miguel Induráin,stage_wins,2
82,Miguel Induráin,stages_led,13
82,Miguel Induráin,time_margin,0.06777777777777777
83,Bjarne Riis,stage_wins,2
83,Bjarne Riis,stages_led,13
83,Bjarne Riis,time_margin,0.016944444444444443
84,Jan Ullrich,stage_wins,2
84,Jan Ullrich,stages_led,12
84,Jan Ullrich,time_margin,0.1525
85,Marco Pantani,stage_wins,2
85,Marco Pantani,stages_led,7
85,Marco Pantani,time_margin,0.050833333333333335
86,Lance Armstrong,stage_wins,4
86,Lance Armstrong,stages_led,15
86,Lance Armstrong,time_margin,0.11861111111111111
87,Lance Armstrong,stage_wins,1
87,Lance Armstrong,stages_led,12
87,Lance Armstrong,time_margin,0.10166666666666667
88,Lance Armstrong,stage_wins,4
88,Lance Armstrong,stages_led,8
88,Lance Armstrong,time_margin,0.10166666666666667
89,Lance Armstrong,stage_wins,4
89,Lance Armstrong,stages_led,11
89,Lance Armstrong,time_margin,0.11861111111111111
90,Lance Armstrong,stage_wins,1
90,Lance Armstrong,stages_led,13
90,Lance Armstrong,time_margin,0.016944444444444443
91,Lance Armstrong,stage_wins,5
91,Lance Armstrong,stages_led,7
91,Lance Armstrong,time_margin,0.10166666666666667
92,Lance Armstrong,stage_wins,1
92,Lance Armstrong,stages_led,17
92,Lance Armstrong,time_margin,0.06777777777777777
93,Óscar Pereiro,stage_wins,0
93,Óscar Pereiro,stages_led,8
93,Óscar Pereiro,time_margin,0.008888888888888889
94,Alberto Contador,stage_wins,1
94,Alberto Contador,stages_led,4
94,Alberto Contador,time_margin,0.006388888888888889
95,Carlos Sastre,stage_wins,1
95,Carlos Sastre,stages_led,5
95,Carlos Sastre,time_margin,0.01611111111111111
96,Alberto Contador,stage_wins,2
96,Alberto Contador,stages_led,7
96,Alberto Contador,time_margin,0.06777777777777777
97,Andy Schleck,stage_wins,2
97,Andy Schleck,stages_led,12
97,Andy Schleck,time_margin,0.016944444444444443
98,Cadel Evans,stage_wins,1
98,Cadel Evans,stages_led,2
98,Cadel Evans,time_margin,0.016944444444444443
99,Bradley Wiggins,stage_wins,2
99,Bradley Wiggins,stages_led,14
99,Bradley Wiggins,time_margin,0.050833333333333335
100,Chris Froome,stage_wins,3
100,Chris Froome,stages_led,14
100,Chris Froome,time_margin,0.06777777777777777
101,Vincenzo Nibali,stage_wins,4
101,Vincenzo Nibali,stages_led,19
